the	69971
,	58334
.	49346
of	36412
and	28853
to	26158
a	23195
in	21337
that	10594
is	10109
was	9815
he	9548
for	9489
``	8837
''	8789
it	8760
with	7289
as	7253
his	6996
on	6741
be	6377
;	5566
at	5372
by	5306
i	5164
this	5145
had	5133
?	4693
not	4610
are	4394
but	4381
from	4370
or	4206
have	3942
an	3740
they	3620
which	3561
--	3432
one	3292
you	3286
were	3284
her	3036
all	3001
she	2860
there	2728
would	2714
their	2669
we	2652
him	2619
been	2472
)	2466
has	2437
(	2435
when	2331
who	2252
will	2245
more	2215
if	2198
no	2139
out	2097
so	1985
said	1961
what	1908
up	1890
its	1858
about	1815
:	1795
into	1791
than	1790
them	1788
can	1772
only	1748
other	1702
new	1635
some	1618
could	1601
time	1598
!	1596
these	1573
two	1412
may	1402
then	1380
do	1363
first	1361
any	1344
my	1318
now	1314
such	1303
like	1292
our	1252
over	1236
man	1207
me	1181
even	1170
most	1159
made	1125
also	1069
after	1069
did	1044
many	1030
before	1016
must	1013
af	996
through	971
back	966
years	950
where	937
much	937
your	923
way	908
well	897
down	895
should	888
because	883
each	877
just	872
those	850
people	847
mr.	844
too	834
how	834
little	831
state	807
good	806
very	796
make	794
world	787
still	782
see	772
own	772
men	763
work	762
long	752
here	750
get	749
both	730
between	730
life	715
being	712
under	707
never	697
day	687
same	686
another	684
know	683
while	680
last	676
us	675
might	672
great	665
old	661
year	658
off	639
come	630
since	628
against	627
go	626
came	622
right	613
used	611
three	610
take	610
states	603
himself	603
few	601
use	591
house	591
during	585
without	583
again	577
place	570
american	569
around	562
however	552
home	547
small	542
found	536
mrs.	534
1	527
thought	517
went	507
say	504
part	500
once	499
general	498
high	497
upon	495
school	493
every	491
don't	489
does	485
united	482
got	482
left	480
number	472
course	465
war	464
until	461
always	458
away	456
something	450
fact	447
2	446
water	445
though	440
public	438
put	437
less	437
think	433
almost	432
hand	431
enough	430
took	426
far	426
head	424
yet	419
government	418
system	416
set	414
better	414
told	413
nothing	411
night	411
end	409
why	404
eyes	401
didn't	401
called	401
find	400
look	399
going	399
asked	398
later	397
point	395
knew	395
program	394
next	394
city	393
business	393
group	390
give	389
toward	386
young	385
room	384
let	384
days	384
president	382
side	381
social	380
several	377
present	377
given	377
order	376
national	375
possible	374
second	373
rather	373
per	371
face	371
form	370
among	370
often	369
important	369
things	368
looked	367
early	366
white	365
john	362
case	362
large	361
need	360
four	360
big	360
within	359
become	359
felt	357
children	355
along	355
saw	352
best	351
church	348
ever	344
least	343
power	342
development	334
thing	333
seemed	333
light	333
family	331
interest	330
want	328
mind	325
members	325
country	324
area	324
others	323
although	321
turned	320
done	319
open	318
'	317
god	316
service	315
problem	313
kind	313
certain	313
thus	312
door	312
different	312
began	312
sense	311
help	311
means	310
whole	309
matter	308
perhaps	307
itself	304
york	302
it's	302
times	300
law	299
human	299
line	298
above	296
name	294
example	292
action	291
company	290
hands	289
show	288
local	288
3	287
whether	286
history	286
five	286
gave	285
today	284
either	284
feet	283
act	283
across	282
taken	281
quite	281
past	281
anything	280
seen	279
having	279
death	277
experience	276
body	276
week	275
really	275
half	275
words	274
word	274
field	274
car	274
already	273
themselves	270
information	269
i'm	269
tell	268
shall	268
together	267
college	267
period	265
money	265
keep	264
held	264
sure	263
probably	261
seems	259
free	259
real	258
political	258
cannot	258
behind	258
question	257
air	257
office	255
making	255
miss	253
brought	253
whose	251
special	250
problems	247
major	247
heard	247
study	246
moment	246
federal	246
became	246
ago	246
known	245
available	245
street	244
result	244
economic	243
boy	242
reason	241
position	241
south	240
change	240
individual	239
board	239
job	238
society	237
am	237
areas	236
west	235
close	234
turn	233
true	231
love	231
community	231
full	230
force	230
court	230
seem	229
cost	229
wife	228
future	227
age	227
wanted	226
voice	226
department	225
woman	224
center	224
control	223
common	223
policy	222
necessary	222
sometimes	221
front	221
following	221
six	220
girl	220
clear	219
land	218
further	218
provide	216
party	216
music	216
mother	216
feel	216
able	216
university	214
education	214
students	213
level	213
effect	213
child	213
town	212
stood	212
short	212
run	212
military	212
total	211
morning	211
outside	210
rate	209
figure	209
art	208
class	207
century	207
washington	206
usually	206
north	206
4	206
therefore	205
plan	205
leave	205
top	204
sound	204
million	204
evidence	204
black	203
strong	202
hard	202
various	201
tax	201
value	200
type	200
surface	200
says	200
play	200
believe	200
soon	199
mean	199
table	198
peace	198
near	198
modern	198
lines	198
road	197
red	197
book	197
situation	196
process	196
personal	196
minutes	196
women	195
schools	195
nor	195
increase	195
idea	195
gone	195
english	195
alone	195
started	194
living	194
america	194
longer	193
dr.	192
cut	192
secretary	191
private	191
nature	191
finally	191
third	190
section	189
months	189
greater	188
call	188
that's	187
needed	187
fire	187
expected	187
view	186
values	186
kept	186
ground	186
pressure	185
everything	185
dark	185
space	184
basis	184
father	183
east	183
union	182
spirit	182
required	182
complete	182
wrote	181
moved	181
i'll	181
except	181
support	180
return	180
conditions	180
recent	179
particular	179
late	179
attention	179
live	177
hope	177
else	176
costs	176
brown	176
taking	175
stage	175
nations	175
forces	175
couldn't	175
beyond	175
report	174
read	174
person	174
material	174
inside	174
hours	174
dead	174
coming	174
miles	173
low	173
lost	173
looking	173
instead	173
heart	173
data	173
single	172
pay	172
makes	172
followed	172
feeling	172
amount	172
added	172
1960	172
simply	171
research	171
move	171
industry	171
including	171
hundred	171
cold	171
basic	171
tried	170
developed	170
reached	169
hold	169
can't	169
committee	168
island	167
equipment	167
defense	167
shown	166
actually	166
son	165
river	165
religious	165
central	165
ten	164
st.	164
sort	164
getting	164
beginning	164
trying	163
terms	163
rest	163
received	163
doing	163
&	163
u.s.	162
picture	162
medical	162
indeed	162
friends	162
especially	162
care	162
subject	161
fine	161
difficult	161
administration	161
wall	160
simple	160
higher	160
building	160
walked	159
meeting	159
foreign	158
floor	158
bring	158
similar	157
range	157
passed	157
paper	157
training	156
property	156
natural	156
final	156
police	155
market	155
international	155
growth	155
county	155
cent	155
written	154
wasn't	154
talk	154
start	154
england	154
suddenly	153
story	153
hear	153
needs	152
issue	152
hall	152
congress	152
answer	152
10	152
you're	151
working	151
likely	151
countries	151
considered	151
sat	150
earth	150
results	149
purpose	149
meet	149
labor	149
happened	149
entire	149
william	148
stand	148
production	148
hair	148
difference	148
cases	148
stock	147
involved	147
food	147
fall	147
whom	146
particularly	146
increased	146
earlier	146
using	145
thinking	145
sent	145
paid	145
letter	145
knowledge	145
hour	145
effort	145
club	145
below	145
yes	144
christian	144
trade	143
square	143
ready	143
points	143
industrial	143
ideas	143
deal	143
certainly	143
boys	143
blue	143
bill	143
moral	142
methods	142
method	142
girls	142
due	142
bad	142
addition	142
5	142
weeks	141
throughout	141
statement	141
showed	141
reading	141
neither	141
nearly	141
directly	141
decided	141
try	140
questions	140
kennedy	140
color	140
anyone	140
according	140
services	139
programs	139
nation	139
lay	139
french	139
size	138
remember	138
physical	138
western	137
understand	137
strength	137
southern	137
record	137
member	137
comes	137
population	136
normal	136
volume	135
temperature	135
merely	135
district	135
concerned	135
appeared	135
trouble	134
trial	134
summer	134
ran	134
direction	134
aid	134
1961	134
sales	133
maybe	133
literature	133
list	133
friend	133
evening	133
continued	133
provided	132
met	132
led	132
influence	132
generally	132
association	132
army	132
student	131
step	131
science	131
opened	131
husband	131
former	131
changes	131
chance	131
works	130
series	130
month	130
hot	130
cause	130
average	130
wrong	129
wouldn't	129
theory	129
systems	129
stopped	129
soviet	129
planning	129
piece	129
myself	129
lead	129
george	129
effective	129
direct	129
worked	128
ways	128
organization	128
movement	128
freedom	128
clearly	128
ask	128
treatment	127
spring	127
somewhat	127
press	127
note	127
meaning	127
lot	127
